,Name,Address,Level,Latitude,Longitude
55,HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,SECONDARY,1.371545088,103.8963988
56,HOUGANG SECONDARY SCHOOL,2    HOUGANG STREET 93,SECONDARY,1.377640193,103.882534
57,HUA YI SECONDARY SCHOOL,60   JURONG WEST ST 42,SECONDARY,1.352343655,103.7218323
58,JUNYUAN SECONDARY SCHOOL,11   TAMPINES STREET 84,SECONDARY,1.353613153,103.9338862
59,JURONG SECONDARY SCHOOL,31   YUAN CHING ROAD,SECONDARY,1.330020322,103.723953
60,JURONG WEST SECONDARY SCHOOL,61   JURONG WEST STREET 65,SECONDARY,1.335256347,103.7020989
61,JURONGVILLE SECONDARY SCHOOL,202  JURONG EAST AVENUE 1,SECONDARY,1.351288628,103.7289077
62,JUYING SECONDARY SCHOOL,33   JURONG WEST STREET 91,SECONDARY,1.338722773,103.6873103
63,KENT RIDGE SECONDARY SCHOOL,147  WEST COAST ROAD,SECONDARY,1.301227734,103.7648896
64,KRANJI SECONDARY SCHOOL,61   CHOA CHU KANG STREET 51,SECONDARY,1.390051099,103.7411907
65,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10   BISHAN STREET 13,SECONDARY,1.350171299,103.8549837
66,LOYANG VIEW SECONDARY SCHOOL,12   PASIR RIS STREET 11,SECONDARY,1.366584172,103.9569446
67,MANJUSRI SECONDARY SCHOOL,20   UBI AVENUE 1,SECONDARY,1.327471231,103.90172
68,MARSILING SECONDARY SCHOOL,12   MARSILING ROAD,SECONDARY,1.441141521,103.7828546
69,MAYFLOWER SECONDARY SCHOOL,2    ANG MO KIO STREET 21,SECONDARY,1.368272662,103.8353607
70,MERIDIAN SECONDARY SCHOOL,31   PASIR RIS STREET 51,SECONDARY,1.367246849,103.9489725
71,METHODIST GIRLS' SCHOOL (SECONDARY),11   BLACKMORE DRIVE,SECONDARY,1.332662136,103.7833821
72,MONTFORT SECONDARY SCHOOL,50   HOUGANG AVENUE 8,SECONDARY,1.373961317,103.8889284
73,NAN CHIAU HIGH SCHOOL,20   ANCHORVALE LINK,SECONDARY,1.388795825,103.8900044
74,NAN HUA HIGH SCHOOL,41   CLEMENTI AVENUE 1,SECONDARY,1.308095295,103.7685614
75,NANYANG GIRLS' HIGH SCHOOL,2    LINDEN DRIVE,SECONDARY,1.330583267,103.802421
76,NAVAL BASE SECONDARY SCHOOL,901  YISHUN RING ROAD,SECONDARY,1.419378816,103.8310504
77,NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,SECONDARY,1.3097759,103.7731886
78,NGEE ANN SECONDARY SCHOOL,1    TAMPINES STREET 32,SECONDARY,1.354475258,103.9567473
79,NORTH VISTA SECONDARY SCHOOL,11   RIVERVALE LINK,SECONDARY,1.381131285,103.8991888
80,NORTHBROOKS SECONDARY SCHOOL,585  YISHUN RING ROAD,SECONDARY,1.42081285,103.8451473
81,NORTHLAND SECONDARY SCHOOL,3    YISHUN STREET 22,SECONDARY,1.435801834,103.8401047
82,NORTHLIGHT SCHOOL,151  Towner Road,SECONDARY,1.319100216,103.8557596
83,ORCHID PARK SECONDARY SCHOOL,10   YISHUN STREET 81,SECONDARY,1.415320328,103.8378592
84,OUTRAM SECONDARY SCHOOL,3    YORK HILL,SECONDARY,1.286513575,103.8371273
85,PASIR RIS CREST SECONDARY SCHOOL,11   PASIR RIS STREET 41,SECONDARY,1.372840601,103.9597282
86,PASIR RIS SECONDARY SCHOOL,390  TAMPINES STREET 21,SECONDARY,1.354227327,103.9489626
87,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296  LOR AH SOO,SECONDARY,1.350967559,103.8851201
88,PEI HWA SECONDARY SCHOOL,21   FERNVALE LINK,SECONDARY,1.39037505,103.8784617
89,PEICAI SECONDARY SCHOOL,10   SERANGOON AVENUE 4,SECONDARY,1.359515832,103.8700107
90,PEIRCE SECONDARY SCHOOL,10   SIN MING WALK,SECONDARY,1.366659447,103.8302161
91,PING YI SECONDARY SCHOOL,61   CHAI CHEE STREET,SECONDARY,1.327016728,103.9207007
92,PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,SECONDARY,1.381804695,103.8424318
93,PUNGGOL SECONDARY SCHOOL,51   EDGEFIELD PLAINS,SECONDARY,1.402057384,103.9092137
94,QUEENSTOWN SECONDARY SCHOOL,1    STRATHMORE ROAD,SECONDARY,1.293521268,103.813191
95,QUEENSWAY SECONDARY SCHOOL,2A   MARGARET DRIVE,SECONDARY,1.300222716,103.8022073
96,RAFFLES GIRLS' SCHOOL (SECONDARY),2    BRADDELL RISE,SECONDARY,1.342174799,103.843134
97,REGENT SECONDARY SCHOOL,50   CHOA CHU KANG NORTH 5,SECONDARY,1.393279083,103.7510344
98,RIVERSIDE SECONDARY SCHOOL,3    WOODLANDS STREET 81,SECONDARY,1.441101571,103.7883082
99,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1    Technology Drive,SECONDARY,1.312928106,103.7740115
100,SEMBAWANG SECONDARY SCHOOL,30   SEMBAWANG CRESCENT,SECONDARY,1.374390978,103.8272282
101,SENG KANG SECONDARY SCHOOL,10   COMPASSVALE LANE,SECONDARY,1.386596831,103.898365
102,SERANGOON GARDEN SECONDARY SCHOOL,21   SERANGOON NORTH AVENUE 1,SECONDARY,1.369325705,103.8692703
103,SERANGOON SECONDARY SCHOOL,11   UPPER SERANGOON VIEW,SECONDARY,1.374655388,103.9021387
104,SINGAPORE CHINESE GIRLS' SCHOOL,190  DUNEARN ROAD,SECONDARY,1.320634084,103.828165
105,SPECTRA SECONDARY SCHOOL,1    WOODLANDS DRIVE 64,SECONDARY,1.437037508,103.8041005
106,SPRINGFIELD SECONDARY SCHOOL,30   TAMPINES AVENUE 8,SECONDARY,1.349573035,103.9303545
107,ST. ANDREW'S SECONDARY SCHOOL,15   FRANCIS THOMAS DRIVE,SECONDARY,1.33069361,103.8662491
108,ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4,SECONDARY,1.334663135,103.9419772
109,ST. GABRIEL'S SECONDARY SCHOOL,24   SERANGOON AVENUE 1,SECONDARY,1.366082932,103.8732053
110,ST. HILDA'S SECONDARY SCHOOL,2    TAMPINES STREET 82,SECONDARY,1.349739224,103.937608
111,ST. MARGARET'S SECONDARY SCHOOL,111  FARRER ROAD,SECONDARY,1.320068214,103.8099511
112,ST. PATRICK'S SCHOOL,490  EAST COAST ROAD,SECONDARY,1.307883419,103.9176382
113,SWISS COTTAGE SECONDARY SCHOOL,3    BUKIT BATOK STREET 34,SECONDARY,1.364717427,103.7503961
114,TAMPINES SECONDARY SCHOOL,252  TAMPINES ST 12,SECONDARY,1.349260948,103.9442637
115,TANGLIN SECONDARY SCHOOL,301  WEST COAST ROAD,SECONDARY,1.309701692,103.7581584
116,TANJONG KATONG GIRLS' SCHOOL,20   Dunman Lane,SECONDARY,1.307562618,103.8961072
117,TANJONG KATONG SECONDARY SCHOOL,130  HAIG ROAD,SECONDARY,1.30873516,103.8972252
118,TECK WHYE SECONDARY SCHOOL,31   TECK WHYE CRESCENT,SECONDARY,1.383334226,103.7551033
119,TEMASEK SECONDARY SCHOOL,600  UPPER EAST COAST ROAD,SECONDARY,1.315916732,103.9475641
120,UNITY SECONDARY SCHOOL,20   CHOA CHU KANG STREET 62,SECONDARY,1.400015241,103.7460209
121,VICTORIA SCHOOL,2    SIGLAP LINK,SECONDARY,1.308713027,103.927981
122,WEST SPRING SECONDARY SCHOOL,61   SENJA  ROAD,SECONDARY,1.387822833,103.7601288
123,WESTWOOD SECONDARY SCHOOL,11   JURONG WEST STREET 25,SECONDARY,1.353736985,103.7017721
124,WHITLEY SECONDARY SCHOOL,30   BISHAN STREET 24,SECONDARY,1.355052085,103.8425524
125,WOODGROVE SECONDARY SCHOOL,3    WOODLANDS AVENUE 6,SECONDARY,1.428318281,103.7960476
126,WOODLANDS RING SECONDARY SCHOOL,10   WOODLANDS RING ROAD,SECONDARY,1.436488947,103.8001485
127,WOODLANDS SECONDARY SCHOOL,11   MARSILING ROAD,SECONDARY,1.440836492,103.7826173
128,XINMIN SECONDARY SCHOOL,11   HOUGANG AVENUE 8,SECONDARY,1.372558847,103.8830516
129,YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,SECONDARY,1.377975977,103.842137
130,YISHUN SECONDARY SCHOOL,4    YISHUN STREET 71,SECONDARY,1.428133243,103.8287643
131,YISHUN TOWN SECONDARY SCHOOL,6    YISHUN STREET 21,SECONDARY,1.432321567,103.8380942
132,YUAN CHING SECONDARY SCHOOL,103  YUAN CHING ROAD,SECONDARY,1.342006358,103.7208987
133,YUHUA SECONDARY SCHOOL,35   JURONG WEST STREET 41,SECONDARY,1.347186269,103.7226872
134,YUSOF ISHAK SECONDARY SCHOOL,11   BUKIT BATOK STREET 25,SECONDARY,1.342351728,103.7601594
135,YUYING SECONDARY SCHOOL,47   HOUGANG AVENUE 1,SECONDARY,1.357135953,103.8901948
136,ZHENGHUA SECONDARY SCHOOL,91   SENJA ROAD,SECONDARY,1.3888414,103.7652074
137,ZHONGHUA SECONDARY SCHOOL,13   SERANGOON AVENUE 3,SECONDARY,1.348407208,103.8694305
