,Name,Address,Latitude,Longitude
0,Singapore University of Social Sciences,"463 Clementi Rd, Singapore 599494",1.328325919,103.7758052
1,Singapore Institute of Technology,"10 Dover Dr, Singapore 138683",1.30048,103.78141
2,Singapore University of Technology and Design,"8 Somapah Rd, Singapore 487372",1.340171637,103.9628601
3,Singapore Management University,"81 Victoria St, Singapore 188065",1.3019,103.857018
4,Nanyang Technological University,"50 Nanyang Ave, 639798",1.344587945,103.682758
5,National University of Singapore,"21 Lower Kent Ridge Rd, Singapore 119077",1.295467181,103.7797739
